PID,total_distance,gross_tax
0101431000,13240693698.645851,11629.63
0101434000,13248879294.04717,12630.59
0101437000,13267194574.359068,10649.34
0101444000,13321579034.47869,10443.71
0101446000,13495173994.24177,11138.94
0101450000,13474456872.18266,10220.67
0101452000,13480966930.234095,12097.47
0101456000,13505794492.27877,10748.35
0101471000,13514768241.959503,12991.81
0101487000,13602902998.538334,8511.42
0101512000,9797297792.692623,9227.33
0101516001,5414171494743.856,12577.28
0101517000,10960964090.122278,10455.68
0101521000,23864769452.484802,9725.63
0101524000,14230939968.964727,7632.32
0101585000,13412244429.32745,8967.29
0101588000,17776982532.400063,9403.58
0101591000,9230891894.65777,10280.51
0101592000,13502639219.231695,10936.57
0101594000,13485457288.149794,10761.41
0101595000,13476241946.136831,10723.33
0101596000,13466660645.599121,9663.61
0101597000,13457347364.153048,11091.07
0101600000,13594684420.643003,11515.39
0101601000,13584002134.400747,9881.21
0101602000,13573364788.37431,10153.21
0101603000,13563218741.5699,8196.99
0101604000,13542599478.48044,9665.79
0101605000,13542440842.82748,9537.41
0101606000,13531828912.716394,9090.24
0101607000,13519751291.653807,10259.84
0101611000,10014858562.688143,11388.1
0101612000,13507813649.579803,9649.47
0101614000,13527969464.448345,11652.48
0101615000,13540215821.506693,10164.09
0101616000,13551286349.523548,10408.89
0101617000,13559295379.030584,11070.4
0101638000,7913446802.960082,12578.37
0101639000,13167386040.48523,9917.12
0101641000,13186133753.28449,10169.53
0101642000,13192371660.043636,10823.42
0101643000,16606607410.980257,10182.59
0101644000,13210785236.511505,10071.61
0101645000,13219360676.90945,11032.32
0101646000,13226817197.616732,11148.74
0101652000,13208599119.076967,8771.45
0101653000,13198681153.205734,10094.46
0101654000,15240326375.05517,10197.82
0101655000,13179205557.940504,10221.76
0101656000,13169239085.051764,12810.11
0101657000,13159445789.501295,9617.92
0101658000,11050695313.767757,9598.34
0101679000,13639444236.735474,8065.34
0101680000,13651309897.703812,8195.9
0101682000,13601959216.020662,12656.7
0101684000,13589949878.1157,12805.76
0101686000,10014858562.688143,9170.75
0101698000,13784010004.850094,7655.17
0101699000,23739453858.423763,6766.27
0101710000,7111606786.975382,12658.88
0101714000,75684739485.58885,10438.27
0101715000,15183511827.495014,10458.94
0101717000,13720453249.014454,11259.71
0101718000,13710925398.601355,12241.09
0101719000,13694830269.703003,14993.73
0101721000,13658050176.417847,9095.68
0101730000,13293238349.017075,8671.36
0101731000,8327594089.910878,11197.7
0101732000,13294192593.92105,7895.62
0101734000,9188819106.418352,9324.16
0101735000,9188819106.418352,8128.45
0101754000,9656697434.738344,12625.15
0101755000,13334183137.957443,8756.22
0101760000,13782717501.956152,10751.62
0101767000,5203002262004.816,9302.4
0101769000,13504279765.137165,10272.89
0101770000,13486384313.71002,9874.69
0101778000,13379462574.43804,12407.55
0101796000,13303129860.986889,9480.83
0101799000,4442801470.1641035,9410.11
0101804000,10956532315.442022,8577.79
0101806000,10014858562.688143,8441.79
0101808000,13387381749.70197,7879.29
0101810000,13397579619.17587,9492.8
0101811000,13401117546.06545,7252.61
0101812000,13409290385.278746,9647.29
0101815000,13433870676.09309,12828.61
0101819000,23341054427.268764,7617.09
0101820000,13485418178.662733,7018.69
